Width,Height,Threads,Time(ms),Label
2048,2048,4194304,220.50,OpenCL_PointBased
512,512,262144,78.75,OpenCL_PointBased
1024,1024,1048576,108.25,OpenCL_PointBased
2048,2048,4194304,213.00,OpenCL_PointBased
4096,4096,16777216,653.00,OpenCL_PointBased
8192,8192,67108864,2403.25,OpenCL_PointBased
2048,2048,4194304,267.00,OpenCL_Vectorized
512,512,262144,85.25,OpenCL_Vectorized
1024,1024,1048576,125.75,OpenCL_Vectorized
2048,2048,4194304,268.00,OpenCL_Vectorized
4096,4096,16777216,819.25,OpenCL_Vectorized
8192,8192,67108864,2970.75,OpenCL_Vectorized
